2018/12/24 星期一 15:17:39	正在加载配置,请稍等...
2018/12/24 星期一 15:40:57	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2018/12/24 星期一 15:40:57	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:43:04	开始预订G1014次列车车票...

2018/12/24 星期一 15:43:04	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:43:04	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:43:05	[任务2]实时余票为(2)张,继续提交...

2018/12/24 星期一 15:43:05	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:43:05	[任务5]快速出票安全期,等待1778ms

2018/12/24 星期一 15:43:07	[任务5]余票不足！

2018/12/24 星期一 15:43:07	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2018/12/24 星期一 15:43:07	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:45:07	开始预订G1014次列车车票...

2018/12/24 星期一 15:45:07	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:45:07	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:45:08	[任务2]实时余票为(2)张,继续提交...

2018/12/24 星期一 15:45:08	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:45:08	[任务5]快速出票安全期,等待2720ms

2018/12/24 星期一 15:45:11	[任务5]余票不足！

2018/12/24 星期一 15:45:11	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2018/12/24 星期一 15:45:11	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:46:13	开始预订G1014次列车车票...

2018/12/24 星期一 15:46:13	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:46:13	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:46:13	[任务2]实时余票为(2)张,继续提交...

2018/12/24 星期一 15:46:13	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:46:13	[任务5]快速出票安全期,等待2894ms

2018/12/24 星期一 15:46:17	[任务5]余票不足！

2018/12/24 星期一 15:46:17	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2018/12/24 星期一 15:46:17	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:47:39	开始预订G1014次列车车票...

2018/12/24 星期一 15:47:39	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:47:39	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:47:39	[任务2]实时余票为(2)张,继续提交...

2018/12/24 星期一 15:47:39	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:47:39	[任务5]快速出票安全期,等待2330ms

2018/12/24 星期一 15:47:42	[任务5]余票不足！

2018/12/24 星期一 15:47:42	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2018/12/24 星期一 15:47:42	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:48:42	开始预订G1014次列车车票...

2018/12/24 星期一 15:48:42	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:48:42	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:48:43	[任务2]实时余票为(2)张,继续提交...

2018/12/24 星期一 15:48:43	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:48:43	[任务5]快速出票安全期,等待1881ms

2018/12/24 星期一 15:48:45	[任务5]余票不足！

2018/12/24 星期一 15:48:45	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2018/12/24 星期一 15:48:45	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:50:54	开始预订G1014次列车车票...

2018/12/24 星期一 15:50:54	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:50:55	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:50:55	[任务2]实时余票为(2)张,继续提交...

2018/12/24 星期一 15:50:55	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:50:55	[任务5]快速出票安全期,等待1936ms

2018/12/24 星期一 15:50:57	[任务5]余票不足！

2018/12/24 星期一 15:50:57	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2018/12/24 星期一 15:50:57	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 15:51:59	开始预订G1014次列车车票...

2018/12/24 星期一 15:51:59	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 15:51:59	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 15:52:00	[任务2]实时余票为(2)张,继续提交...

2018/12/24 星期一 15:52:00	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 15:52:00	[任务5]快速出票安全期,等待2265ms

2018/12/24 星期一 15:52:03	[任务5]余票不足！

2018/12/24 星期一 15:52:03	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2018/12/24 星期一 15:52:03	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 16:25:46	开始预订G1008次列车车票...

2018/12/24 星期一 16:25:46	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 16:25:46	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 16:25:47	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 16:25:47	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 16:25:47	[任务5]快速出票安全期,等待2834ms

2018/12/24 星期一 16:25:50	[任务5]余票不足！

2018/12/24 星期一 16:25:50	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2018/12/24 星期一 16:25:50	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 16:29:16	开始预订G1008次列车车票...

2018/12/24 星期一 16:29:16	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 16:29:16	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 16:29:17	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 16:29:17	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 16:29:17	[任务5]快速出票安全期,等待1941ms

2018/12/24 星期一 16:29:19	[任务5]余票不足！

2018/12/24 星期一 16:29:19	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2018/12/24 星期一 16:29:19	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 16:31:24	开始预订G1008次列车车票...

2018/12/24 星期一 16:31:24	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 16:31:24	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 16:31:25	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 16:31:25	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 16:31:25	[任务5]快速出票安全期,等待3281ms

2018/12/24 星期一 16:31:28	[任务5]余票不足！

2018/12/24 星期一 16:31:28	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2018/12/24 星期一 16:31:28	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 16:35:36	开始预订G1008次列车车票...

2018/12/24 星期一 16:35:36	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 16:35:36	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 16:35:37	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 16:35:37	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 16:35:37	[任务5]快速出票安全期,等待2246ms

2018/12/24 星期一 16:35:40	[任务5]余票不足！

2018/12/24 星期一 16:35:40	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2018/12/24 星期一 16:35:40	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 16:36:42	开始预订G1008次列车车票...

2018/12/24 星期一 16:36:42	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 16:36:42	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 16:36:42	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 16:36:42	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 16:36:42	[任务5]快速出票安全期,等待3357ms

2018/12/24 星期一 16:36:46	[任务5]余票不足！

2018/12/24 星期一 16:36:46	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2018/12/24 星期一 16:36:46	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 16:38:07	开始预订G1008次列车车票...

2018/12/24 星期一 16:38:07	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 16:38:07	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 16:38:08	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 16:38:08	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 16:38:08	[任务5]快速出票安全期,等待2776ms

2018/12/24 星期一 16:38:11	[任务5]余票不足！

2018/12/24 星期一 16:38:11	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2018/12/24 星期一 16:38:11	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 16:40:19	开始预订G1008次列车车票...

2018/12/24 星期一 16:40:19	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 16:40:19	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 16:40:19	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 16:40:19	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 16:40:19	[任务5]快速出票安全期,等待2798ms

2018/12/24 星期一 16:40:22	[任务5]余票不足！

2018/12/24 星期一 16:40:22	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2018/12/24 星期一 16:40:22	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 16:44:14	开始预订G1008次列车车票...

2018/12/24 星期一 16:44:14	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 16:44:14	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 16:44:15	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 16:44:15	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 16:44:15	[任务5]快速出票安全期,等待2014ms

2018/12/24 星期一 16:44:17	[任务5]余票不足！

2018/12/24 星期一 16:44:17	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2018/12/24 星期一 16:44:17	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 16:47:31	开始预订G1008次列车车票...

2018/12/24 星期一 16:47:31	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 16:47:31	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 16:47:32	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 16:47:32	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 16:47:32	[任务5]快速出票安全期,等待3429ms

2018/12/24 星期一 16:47:35	[任务5]余票不足！

2018/12/24 星期一 16:47:35	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2018/12/24 星期一 16:47:35	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 16:48:56	开始预订G1008次列车车票...

2018/12/24 星期一 16:48:56	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 16:48:56	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 16:48:57	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 16:48:57	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 16:48:57	[任务5]快速出票安全期,等待3306ms

2018/12/24 星期一 16:49:00	[任务5]余票不足！

2018/12/24 星期一 16:49:00	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2018/12/24 星期一 16:49:00	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 16:50:01	开始预订G1008次列车车票...

2018/12/24 星期一 16:50:01	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 16:50:01	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 16:50:01	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 16:50:01	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 16:50:02	[任务5]快速出票安全期,等待2786ms

2018/12/24 星期一 16:50:05	[任务5]余票不足！

2018/12/24 星期一 16:50:05	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2018/12/24 星期一 16:50:05	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 16:53:55	开始预订G1008次列车车票...

2018/12/24 星期一 16:53:55	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 16:53:55	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 16:53:57	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 16:53:57	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 16:53:57	[任务5]快速出票安全期,等待2985ms

2018/12/24 星期一 16:54:00	[任务5]余票不足！

2018/12/24 星期一 16:54:00	[返回无票]该数据为缓存,将G1008车次放入小黑屋60秒...

2018/12/24 星期一 16:54:00	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 17:31:42	开始预订G554次列车车票...

2018/12/24 星期一 17:31:42	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 17:31:42	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 17:31:43	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 17:31:43	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 17:31:43	[任务5]快速出票安全期,等待2674ms

2018/12/24 星期一 17:31:46	[任务5]余票不足！

2018/12/24 星期一 17:31:46	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2018/12/24 星期一 17:31:46	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 17:35:32	开始预订G554次列车车票...

2018/12/24 星期一 17:35:32	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 17:35:32	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 17:35:32	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 17:35:32	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 17:35:32	[任务5]快速出票安全期,等待1821ms

2018/12/24 星期一 17:35:35	[任务5]余票不足！

2018/12/24 星期一 17:35:35	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2018/12/24 星期一 17:35:35	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 17:37:18	开始预订G554次列车车票...

2018/12/24 星期一 17:37:18	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 17:37:18	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 17:37:19	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 17:37:19	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 17:37:19	[任务5]快速出票安全期,等待3009ms

2018/12/24 星期一 17:37:23	[任务5]余票不足！

2018/12/24 星期一 17:37:23	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2018/12/24 星期一 17:37:23	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 17:40:32	开始预订G554次列车车票...

2018/12/24 星期一 17:40:32	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 17:40:32	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 17:40:33	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 17:40:33	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 17:40:33	[任务5]快速出票安全期,等待1943ms

2018/12/24 星期一 17:40:35	[任务5]余票不足！

2018/12/24 星期一 17:40:35	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2018/12/24 星期一 17:40:35	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 17:42:14	开始预订G554次列车车票...

2018/12/24 星期一 17:42:14	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 17:42:14	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 17:42:14	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 17:42:14	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 17:42:14	[任务5]快速出票安全期,等待2943ms

2018/12/24 星期一 17:42:17	[任务5]余票不足！

2018/12/24 星期一 17:42:17	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

2018/12/24 星期一 17:42:17	开始查询2019-01-22车次，间隔：默认

2018/12/24 星期一 17:45:03	开始预订G554次列车车票...

2018/12/24 星期一 17:45:03	[极速]线程启动完成,开始解析算法...

2018/12/24 星期一 17:45:03	[任务1]算法解析完成,开始申请订单...

2018/12/24 星期一 17:45:04	[任务2]实时余票为(1)张,继续提交...

2018/12/24 星期一 17:45:04	[任务4]当前无需验证码,开始提交订单...

2018/12/24 星期一 17:45:04	[任务5]快速出票安全期,等待1572ms

2018/12/24 星期一 17:45:06	[任务5]余票不足！

2018/12/24 星期一 17:45:06	[返回无票]该数据为缓存,将G554车次放入小黑屋60秒...

